Subject AB101128, Day 2, 29-Nov-2010 16:32:37
block	 trial	 cueEmo	 validity	 targLoc	 tilt	 contrast	 cueLoc	 cueID	 postCueLoc	 resp	 correct	 RT

 Start Time = 29-Nov-2010 17:01:23
6,     599,     Neut,      Valid,      targNE,     R,      0.012,     cueNE,      11,           pcNE,           L,     0,     0.3769
6,     600,     Fear,      Inval,      targSE,     R,      0.068824,     cueNE,      6,           pcSE,           R,     1,     0.4084
6,     601,     Fear,      Inval,      targNE,     R,      0.22052,     cueSW,      6,           pcNE,           R,     1,     0.5295
6,     602,     Neut,      Valid,      targSE,     R,      0.038449,     cueSE,      11,           pcSE,           L,     0,     0.5049
6,     603,     Fear,      Inval,      targSE,     R,      0.02148,     cueSW,      3,           pcSE,           R,     1,     0.7545
6,     604,     Fear,      Inval,      targSE,     R,      0.012,     cueNE,      3,           pcSE,           L,     0,     0.2575
6,     605,     Fear,      Inval,      targNW,     R,      0.068824,     cueSW,      9,           pcNW,           R,     1,     0.4803
6,     606,     Neut,      Distr,      targNW,     L,      0.39473,     cueDI,      7,           pcNW,           L,     1,     0.4341
6,     607,     Neut,      Inval,      targSE,     R,      0.038449,     cueNE,      8,           pcSE,           L,     0,     0.4907
6,     608,     Fear,      Inval,      targNW,     R,      0.1232,     cueSW,      10,           pcNW,           R,     1,     0.3702
6,     609,     Fear,      Distr,      targNE,     L,      0.038449,     cueDI,      11,           pcNE,           R,     0,     0.2966
6,     610,     Fear,      Inval,      targSW,     R,      0.068824,     cueNW,      9,           pcSW,           R,     1,     0.4740
6,     611,     Fear,      Distr,      targNE,     R,      0.012,     cueDI,      2,           pcNE,           L,     0,     0.4101
6,     612,     Fear,      Valid,      targNE,     L,      0.22052,     cueNE,      10,           pcNE,           L,     1,     0.3943
6,     613,     Neut,      Valid,      targSW,     R,      0.22052,     cueSW,      1,           pcSW,           R,     1,     0.5697
6,     614,     Fear,      Valid,      targNE,     L,      0.068824,     cueNE,      9,           pcNE,           L,     1,     0.3782
6,     615,     Fear,      Inval,      targSW,     R,      0.012,     cueSE,      4,           pcSW,           R,     1,     0.3624
6,     616,     Fear,      Valid,      targNW,     R,      0.038449,     cueNW,      4,           pcNW,           R,     1,     0.4102
