Subject AB101128, 28-Nov-2010 19:13:51, Gabor Tilt = 4
trial	 cue	 validity	 targLoc	 tilt	 cueLoc	 contrast	 postCueLoc	 resp	 correct	 RT

 Start Time = 28-Nov-2010 19:16:28
    131,    Dot,      Distr,        targNW,       R,      cueDI,           0.023912,           pcNW,           L,        0,   0.4928
    132,    Dot,      Distr,        targSW,       L,      cueDI,           0.1286,           pcSW,           L,        1,   0.5486
    133,    Dot,      Inval,        targNE,       R,      cueNW,           0.35289,           pcNE,           R,        1,   0.5557
    134,    Dot,      Inval,        targSE,       R,      cueNE,           0.09186,           pcSE,           L,        0,   0.6758
    135,    Dot,      Valid,        targNW,       R,      cueNW,           0.023912,           pcNW,           L,        0,   0.3554
    136,    Dot,      Inval,        targSE,       R,      cueNE,           0.18005,           pcSE,           L,        0,   0.3632
    137,    Dot,      Distr,        targNE,       R,      cueDI,           0.1286,           pcNE,           R,        1,   0.5637
    138,    Dot,      Inval,        targNE,       L,      cueSE,           0.023912,           pcNE,           R,        0,   0.4453
    139,    Dot,      Inval,        targNE,       R,      cueSW,           0.49405,           pcNE,           R,        1,   0.4681
    140,    Dot,      Inval,        targSW,       L,      cueNE,           0.35289,           pcSW,           L,        1,   0.5088
    141,    Dot,      Inval,        targNW,       R,      cueNE,           0.023912,           pcNW,           L,        0,   0.3087
    142,    Dot,      Inval,        targSE,       R,      cueNW,           0.25206,           pcSE,           R,        1,   0.4616
    143,    Dot,      Inval,        targNE,       L,      cueNW,           0.065615,           pcNE,           L,        1,   0.7088
    144,    Dot,      Valid,        targSE,       L,      cueSE,           0.09186,           pcSE,           L,        1,   0.3571
    145,    Dot,      Valid,        targSE,       R,      cueSE,           0.046868,           pcSE,           R,        1,   0.6054
    146,    Dot,      Inval,        targSW,       L,      cueSE,           0.046868,           pcSW,           L,        1,   0.5970
    147,    Dot,      Valid,        targSW,       R,      cueSW,           0.0122,           pcSW,           R,        1,   0.5077
    148,    Dot,      Inval,        targNW,       L,      cueSW,           0.1286,           pcNW,           R,        0,   0.6197
    149,    Dot,      Inval,        targSW,       L,      cueSE,           0.023912,           pcSW,           L,        1,   0.4527
    150,    Dot,      Distr,        targSW,       R,      cueDI,           0.046868,           pcSW,           R,        1,   0.5325
    151,    Dot,      Distr,        targNW,       L,      cueDI,           0.96833,           pcNW,           L,        1,   0.4688
    152,    Dot,      Distr,        targNE,       L,      cueDI,           0.25206,           pcNE,           L,        1,   0.4999
    153,    Dot,      Inval,        targSE,       R,      cueNW,           0.49405,           pcSE,           R,        1,   0.4056
    154,    Dot,      Inval,        targSE,       L,      cueSW,           0.046868,           pcSE,           L,        1,   0.4301
    155,    Dot,      Distr,        targNW,       R,      cueDI,           0.49405,           pcNW,           R,        1,   0.5559
    156,    Dot,      Valid,        targNE,       R,      cueNE,           0.69167,           pcNE,           R,        1,   0.4202
    157,    Dot,      Inval,        targNW,       L,      cueSW,           0.01708,           pcNW,           L,        1,   0.3333
